"iter","loglik","score_max_abs","finite_score","bt","eta_used","ls_ok","seed","n","k","family","method","eta0","eta_mult","eta_label","eta_init","eta_times_n","case"
1,-463074.625300115,197.347612285315,1,NA,NA,NA,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
2,-462950.517263386,444.788261993967,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
3,-464893.384708591,714.753137976071,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
4,-484507.107358899,2995.77412102468,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
5,-686156.282731208,1380.96116213384,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
6,-1786900.94188642,6198.90330117398,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
7,-7981524.44288042,1385.1773548222,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
8,-5484654.1347403,1819.25268418795,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
9,-2483701115774.57,3906054112207.68,1,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
10,-Inf,NA,0,0,0.00193571169469666,1,123,1000,2,"poisson","fixed",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"fixed | 10*eta0"
1,-463074.625300115,197.347612285315,1,NA,NA,NA,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
2,-462900.470289328,136.400009597089,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
3,-462806.672549719,106.519899063819,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
4,-462741.013115955,87.856942622545,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
5,-462692.893981779,74.1506366409167,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
6,-462657.267626575,63.0708574725069,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
7,-462630.789321019,53.8162703135091,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
8,-462611.058572648,45.9993220201228,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
9,-462596.321562834,39.3685709337342,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
10,-462585.289763387,33.7315377038834,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
11,-462577.01358779,28.9317270651742,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
12,-462570.79147664,24.8393116510605,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
13,-462566.103886647,21.3457850107272,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
14,-462562.565177928,18.3601240810047,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
15,-462559.888453775,15.8057776097315,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
16,-462557.859803686,13.6182297821227,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
17,-462556.31938964,11.7430067711413,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
18,-462555.147524514,10.1340362349435,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
19,-462554.254401047,8.75229168514414,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
20,-462553.57249607,7.56466833249948,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
21,-462553.050941186,6.54304797245393,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
22,-462552.651340708,5.66351893621779,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
23,-462552.344658739,4.9057237513614,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
24,-462552.108896909,4.2523123672058,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
25,-462551.927358434,3.68848292846626,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
26,-462551.78734775,3.20159537051189,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
27,-462551.679194891,2.78084574716121,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
28,-462551.595521685,2.41699132868616,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
29,-462551.530689008,2.11050022818258,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
30,-462551.480379878,1.86046161912832,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
31,-462551.441283812,1.64086379304238,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
32,-462551.410858253,1.44788951451884,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
33,-462551.387147222,1.27821559523932,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
34,-462551.368643655,1.12894679767463,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
35,-462551.354184637,0.997558886408926,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
36,-462551.342871385,0.881849517778185,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
37,-462551.334008206,0.779895852038863,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
38,-462551.327055945,0.69001793633976,1,2,0.000483927923674164,1,123,1000,2,"poisson","linesearch",0.000193571169469666,10,"10*eta0",0.00193571169469666,1.93571169469666,"linesearch | 10*eta0"
