"seed","n","k","family","method","eta0","eta_mult","eta_label","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","num_steps","converged","exploded","error_message","bt_mean","bt_max","bt_frac0","ls_fail_frac"
123,1000,2,"bernoulli","fixed",0.000800000000000004,10,"10*eta0",0.00800000000000004,8.00000000000004,0.01,2000,0.5,1,0,2000,0,0,"",NA,NA,NA,NA
123,1000,2,"bernoulli","linesearch",0.000800000000000004,10,"10*eta0",0.00800000000000004,8.00000000000004,0.01,2000,0.5,1,7,391,1,0,"",4,4,0,0
123,1000,2,"bernoulli","fixed",0.000800000000000004,5,"5*eta0",0.00400000000000002,4.00000000000002,0.01,2000,0.5,1,0,58,1,0,"",NA,NA,NA,NA
123,1000,2,"bernoulli","linesearch",0.000800000000000004,5,"5*eta0",0.00400000000000002,4.00000000000002,0.01,2000,0.5,1,7,391,1,0,"",3,3,0,0
