"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,0,0,13.29824,13.2965,2000,0.160191646688687,1,0,1,0
"fixed",1,100,0,1,0,3.76992000000001,3.68150000000003,504.87,0.00991050720161486,1,0,1,0
"fixed",5,100,0,1,0,1.22108000000001,1.20000000000002,102.78,0.00949709911991303,1,0,1,0
"fixed",10,100,0,0,0,14.25156,13.765,2000,236.68398353048,1,0,1,0
"linesearch",0.2,100,0,0,0,119.72779,118.2545,2000,0.160191646688687,1,0,0,0
"linesearch",1,100,0,1,0,30.7393,29.868,504.87,0.00991050720161486,1,0,0,0
"linesearch",5,100,0,1,0,93.01755,90.382,806.36,0.00993905783296006,0,3,0,0
"linesearch",10,100,0,1,0,107.18795,104.418,806.36,0.00993905783296006,0,4,0,0
