"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,955.2409,951.226999999995,1342.22,0.00996566437326373,1,0,1,0
"fixed",1,100,0,1,0,449.46133,445.139,266.1,0.00983462304418141,1,0,1,0
"fixed",5,100,0,1,0,356.40992,351.275000000001,70.6,0.00969092455636564,1,0,1,0
"fixed",10,100,0,0,0,1313.87987,1286.3245,2000,1892.36649609987,1,0,1,0
"linesearch",0.2,100,0,1,0,15790.38132,14585.3805,1342.22,0.00996566437326373,1,0,0,0
"linesearch",1,100,0,1,0,3386.07546,3087.708,266.1,0.00983462304418141,1,0,0,0
"linesearch",5,100,0,1,0,5493.23368,5245.492,427.54,0.00989311041575628,0,3,0,0
"linesearch",10,100,0,1,0,6015.72987,5740.115,427.54,0.00989311041575628,0,4,0,0
