"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,5.94712,5.8905,903.88,0.00995620675745456,1,0,1,0
"fixed",1,100,0,1,0,1.64691,1.6405,179.06,0.0097892222470835,1,0,1,0
"fixed",5,100,0,0,0,12.72576,12.6575,2000,791.656414907267,1,0,1,0
"fixed",10,100,0,0,1,0.6638,0.649500000000003,8.91,NA,1,0,1,0
"linesearch",0.2,100,0,1,0,25.9436,25.1085,903.88,0.00995620675745456,1,0,0,0
"linesearch",1,100,0,1,0,5.26444,5.21949999999999,179.06,0.0097892222470835,1,0,0,0
"linesearch",5,100,0,1,0,2.97223,2.89249999999999,70.33,0.00945212853434957,0,1,0,0
"linesearch",10,100,0,1,0,3.41898,3.38150000000001,70.33,0.00945212853434957,0,2,0,0
