"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,37.63298,37.3644999999999,1308.14,0.00997455101788678,1,0,1,0
"fixed",1,100,0,1,0,11.02267,10.9240000000001,259.99,0.00986952296290439,1,0,1,0
"fixed",5,100,0,1,0,5.96547000000001,5.93000000000001,60.72,0.00964816464800313,1,0,1,0
"fixed",10,100,0,0,0,61.52354,56.9954999999999,2000,473.019128850801,1,0,1,0
"linesearch",0.2,100,0,1,0,320.75524,314.85,1308.14,0.00997455101788678,1,0,0,0
"linesearch",1,100,0,1,0,67.80228,66.7460000000001,259.99,0.00986952296290439,1,0,0,0
"linesearch",5,100,0,1,0,191.84705,189.6265,417.21,0.00992000744117599,0,3,0,0
"linesearch",10,100,0,1,0,220.29502,218.839,417.21,0.00992000744117599,0,4,0,0
