"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,750.1671,741.817999999999,908.14,0.00995233860111948,1,0,1,0
"fixed",1,100,0,1,0,419.76608,409.689999999999,178.98,0.00973564427713487,1,0,1,0
"fixed",5,100,0,0,0,1253.99676,1246.382,2000,5376.01737396679,1,0,1,0
"fixed",10,100,0,0,1,336.09399,325.1115,6.01,NA,1,0,1,0
"linesearch",0.2,100,0,1,0,3089.96345,2952.0485,908.14,0.00995233860111948,1,0,0,0
"linesearch",1,100,0,1,0,679.64791,666.1825,178.98,0.00973564427713487,1,0,0,0
"linesearch",5,100,0,1,0,495.09648,483.0545,69.5,0.0094010933655372,0,1,0,0
"linesearch",10,100,0,1,0,516.97256,503.4365,69.5,0.0094010933655372,0,2,0,0
