"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,460.86733,459.7955,425.27,0.00987886308624662,1,0,1,0
"fixed",1,100,0,1,0,350.2575,348.925500000001,82.02,0.00943948031236819,1,0,1,0
"fixed",5,100,0,0,1,331.31921,330.09,19.36,Inf,1,0,1,0
"fixed",10,100,0,0,1,327.04713,325.458,14.09,Inf,1,0,1,0
"linesearch",0.2,100,0,1,0,996.0929,991.0935,425.27,0.00987886308624662,1,0,0,0
"linesearch",1,100,0,1,0,422.41531,420.6555,82.02,0.00943948031236819,1,0,0,0
"linesearch",5,100,0,1,0,441.8031,439.776999999999,64.85,0.00927582797313348,0,2,0,0
"linesearch",10,100,0,1,0,462.05629,460.629,64.85,0.00927582797313348,0,3,0,0
