"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,500,2,"poisson","fixed",0.000418454325397063,10,0.00418454325397063,2.09227162698531,0.01,2000,0.5,1,0,0,NA,0.727,10,0,1,NA,0,0,1,1,0,1
1,3123,500,2,"poisson","linesearch",0.000418454325397063,10,0.00418454325397063,2.09227162698531,0.01,2000,0.5,1,7,0,NA,3.905,72,1,0,0.00904748234927408,2,2,0,0,0,2
1,3123,500,2,"poisson","fixed",0.000418454325397063,5,0.00209227162698531,1.04613581349266,0.01,2000,0.5,1,0,0,NA,13.665,2000,0,0,648.04443939105,0,0,1,1,0,3
1,3123,500,2,"poisson","linesearch",0.000418454325397063,5,0.00209227162698531,1.04613581349266,0.01,2000,0.5,1,7,0,NA,2.853,72,1,0,0.00904748234927408,1,1,0,0,0,4
1,3123,500,2,"poisson","fixed",0.000418454325397063,1,0.000418454325397063,0.209227162698531,0.01,2000,0.5,1,0,0,NA,1.644,182,1,0,0.00992234772288422,0,0,1,1,0,5
1,3123,500,2,"poisson","linesearch",0.000418454325397063,1,0.000418454325397063,0.209227162698531,0.01,2000,0.5,1,7,0,NA,5.319,182,1,0,0.00992234772288422,0,0,1,0,0,6
1,3123,500,2,"poisson","fixed",0.000418454325397063,0.2,8.36908650794125e-05,0.0418454325397063,0.01,2000,0.5,1,0,0,NA,6.25,921,1,0,0.00992500823586268,0,0,1,1,0,7
1,3123,500,2,"poisson","linesearch",0.000418454325397063,0.2,8.36908650794125e-05,0.0418454325397063,0.01,2000,0.5,1,7,0,NA,25.605,921,1,0,0.00992500823586268,0,0,1,0,0,8
2,4123,500,2,"poisson","fixed",0.000446701637533144,10,0.00446701637533144,2.23350818766572,0.01,2000,0.5,1,0,0,NA,0.685,9,0,1,NA,0,0,1,1,0,9
2,4123,500,2,"poisson","linesearch",0.000446701637533144,10,0.00446701637533144,2.23350818766572,0.01,2000,0.5,1,7,0,NA,3.624,67,1,0,0.00973138722000933,2,2,0,0,0,10
2,4123,500,2,"poisson","fixed",0.000446701637533144,5,0.00223350818766572,1.11675409383286,0.01,2000,0.5,1,0,0,NA,13.059,2000,0,0,826.357430642589,0,0,1,1,0,11
2,4123,500,2,"poisson","linesearch",0.000446701637533144,5,0.00223350818766572,1.11675409383286,0.01,2000,0.5,1,7,0,NA,2.726,67,1,0,0.00973138722000933,1,1,0,0,0,12
2,4123,500,2,"poisson","fixed",0.000446701637533144,1,0.000446701637533144,0.223350818766572,0.01,2000,0.5,1,0,0,NA,1.571,171,1,0,0.00999553236047374,0,0,1,1,0,13
2,4123,500,2,"poisson","linesearch",0.000446701637533144,1,0.000446701637533144,0.223350818766572,0.01,2000,0.5,1,7,0,NA,5.711,171,1,0,0.00999553236047374,0,0,1,0,0,14
2,4123,500,2,"poisson","fixed",0.000446701637533144,0.2,8.93403275066288e-05,0.0446701637533144,0.01,2000,0.5,1,0,0,NA,5.666,866,1,0,0.00997264377002837,0,0,1,1,0,15
2,4123,500,2,"poisson","linesearch",0.000446701637533144,0.2,8.93403275066288e-05,0.0446701637533144,0.01,2000,0.5,1,7,0,NA,22.458,866,1,0,0.00997264377002837,0,0,1,0,0,16
3,5123,500,2,"poisson","fixed",0.000435685101963641,10,0.00435685101963641,2.1784255098182,0.01,2000,0.5,1,0,0,NA,0.762,10,0,1,NA,0,0,1,1,0,17
3,5123,500,2,"poisson","linesearch",0.000435685101963641,10,0.00435685101963641,2.1784255098182,0.01,2000,0.5,1,7,0,NA,3.799,69,1,0,0.00907248160077951,2,2,0,0,0,18
3,5123,500,2,"poisson","fixed",0.000435685101963641,5,0.0021784255098182,1.0892127549091,0.01,2000,0.5,1,0,0,NA,13.534,2000,0,0,391.617823368238,0,0,1,1,0,19
3,5123,500,2,"poisson","linesearch",0.000435685101963641,5,0.0021784255098182,1.0892127549091,0.01,2000,0.5,1,7,0,NA,2.894,69,1,0,0.00907248160077951,1,1,0,0,0,20
3,5123,500,2,"poisson","fixed",0.000435685101963641,1,0.000435685101963641,0.21784255098182,0.01,2000,0.5,1,0,0,NA,1.646,175,1,0,0.00974840785812416,0,0,1,1,0,21
3,5123,500,2,"poisson","linesearch",0.000435685101963641,1,0.000435685101963641,0.21784255098182,0.01,2000,0.5,1,7,0,NA,5.336,175,1,0,0.00974840785812416,0,0,1,0,0,22
3,5123,500,2,"poisson","fixed",0.000435685101963641,0.2,8.71370203927282e-05,0.0435685101963641,0.01,2000,0.5,1,0,0,NA,6.046,883,1,0,0.00998398623748484,0,0,1,1,0,23
3,5123,500,2,"poisson","linesearch",0.000435685101963641,0.2,8.71370203927282e-05,0.0435685101963641,0.01,2000,0.5,1,7,0,NA,23.045,883,1,0,0.00998398623748484,0,0,1,0,0,24
4,6123,500,2,"poisson","fixed",0.000437048597772895,10,0.00437048597772895,2.18524298886448,0.01,2000,0.5,1,0,0,NA,0.722,10,0,1,NA,0,0,1,1,0,25
4,6123,500,2,"poisson","linesearch",0.000437048597772895,10,0.00437048597772895,2.18524298886448,0.01,2000,0.5,1,7,0,NA,4.334,81,1,0,0.00962493166859396,2,2,0,0,0,26
4,6123,500,2,"poisson","fixed",0.000437048597772895,5,0.00218524298886448,1.09262149443224,0.01,2000,0.5,1,0,0,NA,13.069,2000,0,0,951.284395384757,0,0,1,1,0,27
4,6123,500,2,"poisson","linesearch",0.000437048597772895,5,0.00218524298886448,1.09262149443224,0.01,2000,0.5,1,7,0,NA,3.183,81,1,0,0.00962493166859396,1,1,0,0,0,28
4,6123,500,2,"poisson","fixed",0.000437048597772895,1,0.000437048597772895,0.218524298886448,0.01,2000,0.5,1,0,0,NA,1.788,207,1,0,0.00966372570938356,0,0,1,1,0,29
4,6123,500,2,"poisson","linesearch",0.000437048597772895,1,0.000437048597772895,0.218524298886448,0.01,2000,0.5,1,7,0,NA,5.651,207,1,0,0.00966372570938356,0,0,1,0,0,30
4,6123,500,2,"poisson","fixed",0.000437048597772895,0.2,8.74097195545791e-05,0.0437048597772895,0.01,2000,0.5,1,0,0,NA,6.989,1043,1,0,0.00996010738082051,0,0,1,1,0,31
4,6123,500,2,"poisson","linesearch",0.000437048597772895,0.2,8.74097195545791e-05,0.0437048597772895,0.01,2000,0.5,1,7,0,NA,29.856,1043,1,0,0.00996010738082051,0,0,1,0,0,32
5,7123,500,2,"poisson","fixed",0.000448891213895601,10,0.00448891213895601,2.24445606947801,0.01,2000,0.5,1,0,0,NA,0.748,9,0,1,NA,0,0,1,1,0,33
5,7123,500,2,"poisson","linesearch",0.000448891213895601,10,0.00448891213895601,2.24445606947801,0.01,2000,0.5,1,7,0,NA,3.614,69,1,0,0.00986189259233017,2,2,0,0,0,34
5,7123,500,2,"poisson","fixed",0.000448891213895601,5,0.00224445606947801,1.122228034739,0.01,2000,0.5,1,0,0,NA,12.987,2000,0,0,941.409828975835,0,0,1,1,0,35
5,7123,500,2,"poisson","linesearch",0.000448891213895601,5,0.00224445606947801,1.122228034739,0.01,2000,0.5,1,7,0,NA,2.765,69,1,0,0.00986189259233017,1,1,0,0,0,36
5,7123,500,2,"poisson","fixed",0.000448891213895601,1,0.000448891213895601,0.224445606947801,0.01,2000,0.5,1,0,0,NA,1.608,177,1,0,0.00971554318536771,0,0,1,1,0,37
5,7123,500,2,"poisson","linesearch",0.000448891213895601,1,0.000448891213895601,0.224445606947801,0.01,2000,0.5,1,7,0,NA,4.795,177,1,0,0.00971554318536771,0,0,1,0,0,38
5,7123,500,2,"poisson","fixed",0.000448891213895601,0.2,8.97782427791203e-05,0.0448891213895601,0.01,2000,0.5,1,0,0,NA,5.756,893,1,0,0.00993814891626821,0,0,1,1,0,39
5,7123,500,2,"poisson","linesearch",0.000448891213895601,0.2,8.97782427791203e-05,0.0448891213895601,0.01,2000,0.5,1,7,0,NA,23.166,893,1,0,0.00993814891626821,0,0,1,0,0,40
6,8123,500,2,"poisson","fixed",0.00044131293713852,10,0.0044131293713852,2.2065646856926,0.01,2000,0.5,1,0,0,NA,0.753,7,0,1,NA,0,0,1,1,0,41
6,8123,500,2,"poisson","linesearch",0.00044131293713852,10,0.0044131293713852,2.2065646856926,0.01,2000,0.5,1,7,0,NA,3.826,67,1,0,0.00909053969621287,2,2,0,0,0,42
6,8123,500,2,"poisson","fixed",0.00044131293713852,5,0.0022065646856926,1.1032823428463,0.01,2000,0.5,1,0,0,NA,14.1,2000,0,0,907.198798292208,0,0,1,1,0,43
6,8123,500,2,"poisson","linesearch",0.00044131293713852,5,0.0022065646856926,1.1032823428463,0.01,2000,0.5,1,7,0,NA,2.88,67,1,0,0.00909053969621287,1,1,0,0,0,44
6,8123,500,2,"poisson","fixed",0.00044131293713852,1,0.00044131293713852,0.22065646856926,0.01,2000,0.5,1,0,0,NA,1.654,170,1,0,0.00974062876967374,0,0,1,1,0,45
6,8123,500,2,"poisson","linesearch",0.00044131293713852,1,0.00044131293713852,0.22065646856926,0.01,2000,0.5,1,7,0,NA,4.966,170,1,0,0.00974062876967374,0,0,1,0,0,46
6,8123,500,2,"poisson","fixed",0.00044131293713852,0.2,8.8262587427704e-05,0.044131293713852,0.01,2000,0.5,1,0,0,NA,6.07,858,1,0,0.00996220841184536,0,0,1,1,0,47
6,8123,500,2,"poisson","linesearch",0.00044131293713852,0.2,8.8262587427704e-05,0.044131293713852,0.01,2000,0.5,1,7,0,NA,36.616,858,1,0,0.00996220841184536,0,0,1,0,0,48
7,9123,500,2,"poisson","fixed",0.000428611049061374,10,0.00428611049061374,2.14305524530687,0.01,2000,0.5,1,0,0,NA,0.767,10,0,1,NA,0,0,1,1,0,49
7,9123,500,2,"poisson","linesearch",0.000428611049061374,10,0.00428611049061374,2.14305524530687,0.01,2000,0.5,1,7,0,NA,3.675,67,1,0,0.00993092208476329,2,2,0,0,0,50
7,9123,500,2,"poisson","fixed",0.000428611049061374,5,0.00214305524530687,1.07152762265343,0.01,2000,0.5,1,0,0,NA,12.888,2000,0,0,900.350320762228,0,0,1,1,0,51
7,9123,500,2,"poisson","linesearch",0.000428611049061374,5,0.00214305524530687,1.07152762265343,0.01,2000,0.5,1,7,0,NA,2.658,67,1,0,0.00993092208476329,1,1,0,0,0,52
7,9123,500,2,"poisson","fixed",0.000428611049061374,1,0.000428611049061374,0.214305524530687,0.01,2000,0.5,1,0,0,NA,1.588,171,1,0,0.00998161010051782,0,0,1,1,0,53
7,9123,500,2,"poisson","linesearch",0.000428611049061374,1,0.000428611049061374,0.214305524530687,0.01,2000,0.5,1,7,0,NA,4.551,171,1,0,0.00998161010051782,0,0,1,0,0,54
7,9123,500,2,"poisson","fixed",0.000428611049061374,0.2,8.57222098122748e-05,0.0428611049061374,0.01,2000,0.5,1,0,0,NA,5.527,865,1,0,0.00994180294286051,0,0,1,1,0,55
7,9123,500,2,"poisson","linesearch",0.000428611049061374,0.2,8.57222098122748e-05,0.0428611049061374,0.01,2000,0.5,1,7,0,NA,20.509,865,1,0,0.00994180294286051,0,0,1,0,0,56
8,10123,500,2,"poisson","fixed",0.000443136273670353,10,0.00443136273670353,2.21568136835177,0.01,2000,0.5,1,0,0,NA,0.744,8,0,1,NA,0,0,1,1,0,57
8,10123,500,2,"poisson","linesearch",0.000443136273670353,10,0.00443136273670353,2.21568136835177,0.01,2000,0.5,1,7,0,NA,3.503,66,1,0,0.00900722097578971,2,2,0,0,0,58
