"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,2000,2,"bernoulli","fixed",4e-04,10,0.004,8.00000000000001,0.01,2000,0.5,1,0,0,NA,269.208,2000,0,0,928.721744772875,0,0,1,1,0,1
1,3123,2000,2,"bernoulli","linesearch",4e-04,10,0.004,8.00000000000001,0.01,2000,0.5,1,8,0,NA,1113.269,454,1,0,0.00997285000967572,4,4,0,0,0,2
1,3123,2000,2,"bernoulli","fixed",4e-04,5,0.002,4,0.01,2000,0.5,1,0,0,NA,43.692,68,1,0,0.00967588550685783,0,0,1,1,0,3
1,3123,2000,2,"bernoulli","linesearch",4e-04,5,0.002,4,0.01,2000,0.5,1,8,0,NA,1000.064,454,1,0,0.00997285000967572,3,3,0,0,0,4
1,3123,2000,2,"bernoulli","fixed",4e-04,1,4e-04,0.800000000000001,0.01,2000,0.5,1,0,0,NA,65.5340000000001,283,1,0,0.00984694031720186,0,0,1,1,0,5
1,3123,2000,2,"bernoulli","linesearch",4e-04,1,4e-04,0.800000000000001,0.01,2000,0.5,1,8,0,NA,487.148,283,1,0,0.00984694031720186,0,0,1,0,0,6
1,3123,2000,2,"bernoulli","fixed",4e-04,0.2,8.00000000000001e-05,0.16,0.01,2000,0.5,1,0,0,NA,177.976,1425,1,0,0.00999980088257148,0,0,1,1,0,7
1,3123,2000,2,"bernoulli","linesearch",4e-04,0.2,8.00000000000001e-05,0.16,0.01,2000,0.5,1,8,0,NA,2240.761,1425,1,0,0.00999980088257148,0,0,1,0,0,8
2,4123,2000,2,"bernoulli","fixed",4e-04,10,0.004,8,0.01,2000,0.5,1,0,0,NA,255.282,2000,0,0,955.93375696799,0,0,1,1,0,9
2,4123,2000,2,"bernoulli","linesearch",4e-04,10,0.004,8,0.01,2000,0.5,1,8,0,NA,1009.979,430,1,0,0.00997661190166654,4,4,0,0,0,10
2,4123,2000,2,"bernoulli","fixed",4e-04,5,0.002,4,0.01,2000,0.5,1,0,0,NA,42.2359999999999,69,1,0,0.00939460658326674,0,0,1,1,0,11
2,4123,2000,2,"bernoulli","linesearch",4e-04,5,0.002,4,0.01,2000,0.5,1,8,0,NA,889.748,430,1,0,0.00997661190166654,3,3,0,0,0,12
2,4123,2000,2,"bernoulli","fixed",4e-04,1,4e-04,0.8,0.01,2000,0.5,1,0,0,NA,66.1279999999997,268,1,0,0.00985506288466703,0,0,1,1,0,13
2,4123,2000,2,"bernoulli","linesearch",4e-04,1,4e-04,0.8,0.01,2000,0.5,1,8,0,NA,428.425,268,1,0,0.00985506288466703,0,0,1,0,0,14
2,4123,2000,2,"bernoulli","fixed",4e-04,0.2,8e-05,0.16,0.01,2000,0.5,1,0,0,NA,172.066,1350,1,0,0.00999436388855784,0,0,1,1,0,15
2,4123,2000,2,"bernoulli","linesearch",4e-04,0.2,8e-05,0.16,0.01,2000,0.5,1,8,0,NA,2026.883,1350,1,0,0.00999436388855784,0,0,1,0,0,16
3,5123,2000,2,"bernoulli","fixed",4e-04,10,0.004,8.00000000000001,0.01,2000,0.5,1,0,0,NA,268.752,2000,0,0,925.756694136682,0,0,1,1,0,17
3,5123,2000,2,"bernoulli","linesearch",4e-04,10,0.004,8.00000000000001,0.01,2000,0.5,1,8,0,NA,1023.171,427,1,0,0.00995960531226808,4,4,0,0,0,18
3,5123,2000,2,"bernoulli","fixed",4e-04,5,0.002,4,0.01,2000,0.5,1,0,0,NA,44.2460000000001,68,1,0,0.00973332775015034,0,0,1,1,0,19
3,5123,2000,2,"bernoulli","linesearch",4e-04,5,0.002,4,0.01,2000,0.5,1,8,0,NA,907.635,427,1,0,0.00995960531226808,3,3,0,0,0,20
3,5123,2000,2,"bernoulli","fixed",4e-04,1,4e-04,0.800000000000001,0.01,2000,0.5,1,0,0,NA,63.6189999999997,266,1,0,0.00987326591066442,0,0,1,1,0,21
3,5123,2000,2,"bernoulli","linesearch",4e-04,1,4e-04,0.800000000000001,0.01,2000,0.5,1,8,0,NA,424.647,266,1,0,0.00987326591066442,0,0,1,0,0,22
3,5123,2000,2,"bernoulli","fixed",4e-04,0.2,8.00000000000001e-05,0.16,0.01,2000,0.5,1,0,0,NA,172.63,1341,1,0,0.00995632855010586,0,0,1,1,0,23
3,5123,2000,2,"bernoulli","linesearch",4e-04,0.2,8.00000000000001e-05,0.16,0.01,2000,0.5,1,8,0,NA,2071.974,1341,1,0,0.00995632855010586,0,0,1,0,0,24
