"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,165.92203,165.627500000001,1302.44,0.00997226087317163,1,0,1,0
"fixed",1,100,0,1,0,62.66585,62.8879999999995,258.48,0.00984724976928194,1,0,1,0
"fixed",5,100,0,1,0,43.63228,43.5435000000004,66.99,0.00968154918128619,1,0,1,0
"fixed",10,100,0,0,0,246.52994,242.111499999999,2000,944.198812297673,1,0,1,0
"linesearch",0.2,100,0,1,0,1531.35971,1455.1995,1302.44,0.00997226087317163,1,0,0,0
"linesearch",1,100,0,1,0,334.01745,319.924500000001,258.48,0.00984724976928194,1,0,0,0
"linesearch",5,100,0,1,0,809.23223,790.574,415.09,0.00990398100777294,0,3,0,0
"linesearch",10,100,0,1,0,920.67395,903.509999999999,415.09,0.00990398100777294,0,4,0,0
