"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,1.93288,1.917,376.01,0.00990322407852366,1,0,1,0
"fixed",1,100,0,1,0,0.83733,0.836499999999999,73.39,0.00948616258143157,1,0,1,0
"fixed",5,100,0,0,1,0.63241,0.626500000000004,16.52,Inf,1,0,1,0
"fixed",10,100,0,0,1,0.63703,0.620000000000003,12.24,Inf,1,0,1,0
"linesearch",0.2,100,0,1,0,7.1301,6.8145,376.01,0.00990322407852366,1,0,0,0
"linesearch",1,100,0,1,0,1.722,1.6845,73.39,0.00948616258143157,1,0,0,0
"linesearch",5,100,0,1,0,2.0466,2.0225,58.22,0.00939086008469541,0,2,0,0
"linesearch",10,100,0,1,0,2.3935,2.2755,58.22,0.00939086008469541,0,3,0,0
