"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,4000,2,"poisson","fixed",5.41634657790573e-05,10,0.000541634657790572,2.16653863116229,0.01,2000,0.5,1,0,0,NA,332.778,6,0,1,NA,0,0,1,1,0,1
1,3123,4000,2,"poisson","linesearch",5.41634657790573e-05,10,0.000541634657790572,2.16653863116229,0.01,2000,0.5,1,9,0,NA,518.276,71,1,0,0.009040882040839,2,2,0,0,0,2
1,3123,4000,2,"poisson","fixed",5.41634657790573e-05,5,0.000270817328895286,1.08326931558115,0.01,2000,0.5,1,0,0,NA,1263.298,2000,0,0,7559.8789874271,0,0,1,1,0,3
1,3123,4000,2,"poisson","linesearch",5.41634657790573e-05,5,0.000270817328895286,1.08326931558115,0.01,2000,0.5,1,9,0,NA,486.914,71,1,0,0.009040882040839,1,1,0,0,0,4
1,3123,4000,2,"poisson","fixed",5.41634657790573e-05,1,5.41634657790573e-05,0.216653863116229,0.01,2000,0.5,1,0,0,NA,409.812,182,1,0,0.00997944413557558,0,0,1,1,0,5
1,3123,4000,2,"poisson","linesearch",5.41634657790573e-05,1,5.41634657790573e-05,0.216653863116229,0.01,2000,0.5,1,9,0,NA,674.016,182,1,0,0.00997944413557558,0,0,1,0,0,6
1,3123,4000,2,"poisson","fixed",5.41634657790573e-05,0.2,1.08326931558115e-05,0.0433307726232458,0.01,2000,0.5,1,0,0,NA,753.099999999999,926,1,0,0.00999586080824619,0,0,1,1,0,7
1,3123,4000,2,"poisson","linesearch",5.41634657790573e-05,0.2,1.08326931558115e-05,0.0433307726232458,0.01,2000,0.5,1,9,0,NA,3316.06,926,1,0,0.00999586080824619,0,0,1,0,0,8
2,4123,4000,2,"poisson","fixed",5.47595996638096e-05,10,0.000547595996638096,2.19038398655239,0.01,2000,0.5,1,0,0,NA,327.278,6,0,1,NA,0,0,1,1,0,9
2,4123,4000,2,"poisson","linesearch",5.47595996638096e-05,10,0.000547595996638096,2.19038398655239,0.01,2000,0.5,1,9,0,NA,509.029,69,1,0,0.00901954507756958,2,2,0,0,0,10
2,4123,4000,2,"poisson","fixed",5.47595996638096e-05,5,0.000273797998319048,1.09519199327619,0.01,2000,0.5,1,0,0,NA,1258.169,2000,0,0,8032.37249060684,0,0,1,1,0,11
2,4123,4000,2,"poisson","linesearch",5.47595996638096e-05,5,0.000273797998319048,1.09519199327619,0.01,2000,0.5,1,9,0,NA,482.092,69,1,0,0.00901954507756958,1,1,0,0,0,12
2,4123,4000,2,"poisson","fixed",5.47595996638096e-05,1,5.47595996638096e-05,0.219038398655239,0.01,2000,0.5,1,0,0,NA,399.625,176,1,0,0.00997116155208194,0,0,1,1,0,13
2,4123,4000,2,"poisson","linesearch",5.47595996638096e-05,1,5.47595996638096e-05,0.219038398655239,0.01,2000,0.5,1,9,0,NA,647.923,176,1,0,0.00997116155208194,0,0,1,0,0,14
2,4123,4000,2,"poisson","fixed",5.47595996638096e-05,0.2,1.09519199327619e-05,0.0438076797310477,0.01,2000,0.5,1,0,0,NA,726.665,894,1,0,0.0099695030398218,0,0,1,1,0,15
2,4123,4000,2,"poisson","linesearch",5.47595996638096e-05,0.2,1.09519199327619e-05,0.0438076797310477,0.01,2000,0.5,1,9,0,NA,2775.134,894,1,0,0.0099695030398218,0,0,1,0,0,16
3,5123,4000,2,"poisson","fixed",5.48808702661852e-05,10,0.000548808702661852,2.19523481064741,0.01,2000,0.5,1,0,0,NA,331.371,6,0,1,NA,0,0,1,1,0,17
3,5123,4000,2,"poisson","linesearch",5.48808702661852e-05,10,0.000548808702661852,2.19523481064741,0.01,2000,0.5,1,9,0,NA,516.421,69,1,0,0.00883809108811026,2,2,0,0,0,18
3,5123,4000,2,"poisson","fixed",5.48808702661852e-05,5,0.000274404351330926,1.0976174053237,0.01,2000,0.5,1,0,0,NA,1265.987,2000,0,0,2778.34173599813,0,0,1,1,0,19
3,5123,4000,2,"poisson","linesearch",5.48808702661852e-05,5,0.000274404351330926,1.0976174053237,0.01,2000,0.5,1,9,0,NA,482.903,69,1,0,0.00883809108811026,1,1,0,0,0,20
3,5123,4000,2,"poisson","fixed",5.48808702661852e-05,1,5.48808702661852e-05,0.219523481064741,0.01,2000,0.5,1,0,0,NA,406.564,177,1,0,0.00977157435442225,0,0,1,1,0,21
3,5123,4000,2,"poisson","linesearch",5.48808702661852e-05,1,5.48808702661852e-05,0.219523481064741,0.01,2000,0.5,1,9,0,NA,652.003,177,1,0,0.00977157435442225,0,0,1,0,0,22
3,5123,4000,2,"poisson","fixed",5.48808702661852e-05,0.2,1.0976174053237e-05,0.0439046962129481,0.01,2000,0.5,1,0,0,NA,722.799,900,1,0,0.00989349816991894,0,0,1,1,0,23
3,5123,4000,2,"poisson","linesearch",5.48808702661852e-05,0.2,1.0976174053237e-05,0.0439046962129481,0.01,2000,0.5,1,9,0,NA,2970.866,900,1,0,0.00989349816991894,0,0,1,0,0,24
4,6123,4000,2,"poisson","fixed",5.48942042375148e-05,10,0.000548942042375148,2.19576816950059,0.01,2000,0.5,1,0,0,NA,428.788,6,0,1,NA,0,0,1,1,0,25
4,6123,4000,2,"poisson","linesearch",5.48942042375148e-05,10,0.000548942042375148,2.19576816950059,0.01,2000,0.5,1,9,0,NA,605.202,67,1,0,0.00951970518840561,2,2,0,0,0,26
4,6123,4000,2,"poisson","fixed",5.48942042375148e-05,5,0.000274471021187574,1.0978840847503,0.01,2000,0.5,1,0,0,NA,1378.527,2000,0,0,2830.09227898299,0,0,1,1,0,27
4,6123,4000,2,"poisson","linesearch",5.48942042375148e-05,5,0.000274471021187574,1.0978840847503,0.01,2000,0.5,1,9,0,NA,563.78,67,1,0,0.00951970518840561,1,1,0,0,0,28
4,6123,4000,2,"poisson","fixed",5.48942042375148e-05,1,5.48942042375148e-05,0.219576816950059,0.01,2000,0.5,1,0,0,NA,510.111,173,1,0,0.00965629928089107,0,0,1,1,0,29
4,6123,4000,2,"poisson","linesearch",5.48942042375148e-05,1,5.48942042375148e-05,0.219576816950059,0.01,2000,0.5,1,9,0,NA,748.469000000001,173,1,0,0.00965629928089107,0,0,1,0,0,30
4,6123,4000,2,"poisson","fixed",5.48942042375148e-05,0.2,1.0978840847503e-05,0.0439153633900119,0.01,2000,0.5,1,0,0,NA,826.539000000001,877,1,0,0.00997330998739521,0,0,1,1,0,31
4,6123,4000,2,"poisson","linesearch",5.48942042375148e-05,0.2,1.0978840847503e-05,0.0439153633900119,0.01,2000,0.5,1,9,0,NA,2459.861,877,1,0,0.00997330998739521,0,0,1,0,0,32
5,7123,4000,2,"poisson","fixed",5.41747214983425e-05,10,0.000541747214983425,2.1669888599337,0.01,2000,0.5,1,0,0,NA,332.56,6,0,1,NA,0,0,1,1,0,33
5,7123,4000,2,"poisson","linesearch",5.41747214983425e-05,10,0.000541747214983425,2.1669888599337,0.01,2000,0.5,1,9,0,NA,517.197,69,1,0,0.00967024685234909,2,2,0,0,0,34
5,7123,4000,2,"poisson","fixed",5.41747214983425e-05,5,0.000270873607491712,1.08349442996685,0.01,2000,0.5,1,0,0,NA,1267.243,2000,0,0,8403.5752340317,0,0,1,1,0,35
5,7123,4000,2,"poisson","linesearch",5.41747214983425e-05,5,0.000270873607491712,1.08349442996685,0.01,2000,0.5,1,9,0,NA,488.033,69,1,0,0.00967024685234909,1,1,0,0,0,36
5,7123,4000,2,"poisson","fixed",5.41747214983425e-05,1,5.41747214983425e-05,0.21669888599337,0.01,2000,0.5,1,0,0,NA,397.453,178,1,0,0.00991969518656842,0,0,1,1,0,37
5,7123,4000,2,"poisson","linesearch",5.41747214983425e-05,1,5.41747214983425e-05,0.21669888599337,0.01,2000,0.5,1,9,0,NA,658.924,178,1,0,0.00991969518656842,0,0,1,0,0,38
5,7123,4000,2,"poisson","fixed",5.41747214983425e-05,0.2,1.08349442996685e-05,0.043339777198674,0.01,2000,0.5,1,0,0,NA,746.078,905,1,0,0.00997470479278684,0,0,1,1,0,39
5,7123,4000,2,"poisson","linesearch",5.41747214983425e-05,0.2,1.08349442996685e-05,0.043339777198674,0.01,2000,0.5,1,9,0,NA,2766.31,905,1,0,0.00997470479278684,0,0,1,0,0,40
6,8123,4000,2,"poisson","fixed",5.56456135144806e-05,10,0.000556456135144806,2.22582454057923,0.01,2000,0.5,1,0,0,NA,324.851,6,0,1,NA,0,0,1,1,0,41
6,8123,4000,2,"poisson","linesearch",5.56456135144806e-05,10,0.000556456135144806,2.22582454057923,0.01,2000,0.5,1,9,0,NA,484.726,67,1,0,0.00934588404445377,2,2,0,0,0,42
6,8123,4000,2,"poisson","fixed",5.56456135144806e-05,5,0.000278228067572403,1.11291227028961,0.01,2000,0.5,1,0,0,NA,1266.007,2000,0,0,2815.86814984695,0,0,1,1,0,43
6,8123,4000,2,"poisson","linesearch",5.56456135144806e-05,5,0.000278228067572403,1.11291227028961,0.01,2000,0.5,1,9,0,NA,462.553,67,1,0,0.00934588404445377,1,1,0,0,0,44
6,8123,4000,2,"poisson","fixed",5.56456135144806e-05,1,5.56456135144806e-05,0.222582454057923,0.01,2000,0.5,1,0,0,NA,400.32,173,1,0,0.00970529981787677,0,0,1,1,0,45
6,8123,4000,2,"poisson","linesearch",5.56456135144806e-05,1,5.56456135144806e-05,0.222582454057923,0.01,2000,0.5,1,9,0,NA,599.866,173,1,0,0.00970529981787677,0,0,1,0,0,46
6,8123,4000,2,"poisson","fixed",5.56456135144806e-05,0.2,1.11291227028961e-05,0.0445164908115845,0.01,2000,0.5,1,0,0,NA,715.387,879,1,0,0.00992135516634784,0,0,1,1,0,47
6,8123,4000,2,"poisson","linesearch",5.56456135144806e-05,0.2,1.11291227028961e-05,0.0445164908115845,0.01,2000,0.5,1,9,0,NA,2549.96,879,1,0,0.00992135516634784,0,0,1,0,0,48
7,9123,4000,2,"poisson","fixed",5.45268354226437e-05,10,0.000545268354226437,2.18107341690575,0.01,2000,0.5,1,0,0,NA,323.786,6,0,1,NA,0,0,1,1,0,49
7,9123,4000,2,"poisson","linesearch",5.45268354226437e-05,10,0.000545268354226437,2.18107341690575,0.01,2000,0.5,1,9,0,NA,499.942,69,1,0,0.00964359478569965,2,2,0,0,0,50
7,9123,4000,2,"poisson","fixed",5.45268354226437e-05,5,0.000272634177113219,1.09053670845287,0.01,2000,0.5,1,0,0,NA,1259.313,2000,0,0,8327.77928422257,0,0,1,1,0,51
7,9123,4000,2,"poisson","linesearch",5.45268354226437e-05,5,0.000272634177113219,1.09053670845287,0.01,2000,0.5,1,9,0,NA,467.402,69,1,0,0.00964359478569965,1,1,0,0,0,52
7,9123,4000,2,"poisson","fixed",5.45268354226437e-05,1,5.45268354226437e-05,0.218107341690575,0.01,2000,0.5,1,0,0,NA,392.356,178,1,0,0.00959345457479621,0,0,1,1,0,53
7,9123,4000,2,"poisson","linesearch",5.45268354226437e-05,1,5.45268354226437e-05,0.218107341690575,0.01,2000,0.5,1,9,0,NA,659.277,178,1,0,0.00959345457479621,0,0,1,0,0,54
7,9123,4000,2,"poisson","fixed",5.45268354226437e-05,0.2,1.09053670845287e-05,0.043621468338115,0.01,2000,0.5,1,0,0,NA,738.229,902,1,0,0.00994717883597646,0,0,1,1,0,55
7,9123,4000,2,"poisson","linesearch",5.45268354226437e-05,0.2,1.09053670845287e-05,0.043621468338115,0.01,2000,0.5,1,9,0,NA,2929.402,902,1,0,0.00994717883597646,0,0,1,0,0,56
8,10123,4000,2,"poisson","fixed",5.50003490408582e-05,10,0.000550003490408582,2.20001396163433,0.01,2000,0.5,1,0,0,NA,332.714,6,0,1,NA,0,0,1,1,0,57
8,10123,4000,2,"poisson","linesearch",5.50003490408582e-05,10,0.000550003490408582,2.20001396163433,0.01,2000,0.5,1,9,0,NA,502.228,68,1,0,0.00959473887054094,2,2,0,0,0,58
8,10123,4000,2,"poisson","fixed",5.50003490408582e-05,5,0.000275001745204291,1.10000698081716,0.01,2000,0.5,1,0,0,NA,1264.929,2000,0,0,2821.50058740404,0,0,1,1,0,59
8,10123,4000,2,"poisson","linesearch",5.50003490408582e-05,5,0.000275001745204291,1.10000698081716,0.01,2000,0.5,1,9,0,NA,473.731,68,1,0,0.00959473887054094,1,1,0,0,0,60
8,10123,4000,2,"poisson","fixed",5.50003490408582e-05,1,5.50003490408582e-05,0.220001396163433,0.01,2000,0.5,1,0,0,NA,395.085,176,1,0,0.00971028034232937,0,0,1,1,0,61
8,10123,4000,2,"poisson","linesearch",5.50003490408582e-05,1,5.50003490408582e-05,0.220001396163433,0.01,2000,0.5,1,9,0,NA,652.565,176,1,0,0.00971028034232937,0,0,1,0,0,62
8,10123,4000,2,"poisson","fixed",5.50003490408582e-05,0.2,1.10000698081716e-05,0.0440002792326865,0.01,2000,0.5,1,0,0,NA,725.029,894,1,0,0.00994604984032316,0,0,1,1,0,63
8,10123,4000,2,"poisson","linesearch",5.50003490408582e-05,0.2,1.10000698081716e-05,0.0440002792326865,0.01,2000,0.5,1,9,0,NA,2949.354,894,1,0,0.00994604984032316,0,0,1,0,0,64
9,11123,4000,2,"poisson","fixed",5.56580748144093e-05,10,0.000556580748144093,2.22632299257637,0.01,2000,0.5,1,0,0,NA,333.432,6,0,1,NA,0,0,1,1,0,65
9,11123,4000,2,"poisson","linesearch",5.56580748144093e-05,10,0.000556580748144093,2.22632299257637,0.01,2000,0.5,1,9,0,NA,517.562,69,1,0,0.00908836176734795,2,2,0,0,0,66
9,11123,4000,2,"poisson","fixed",5.56580748144093e-05,5,0.000278290374072046,1.11316149628819,0.01,2000,0.5,1,0,0,NA,1277.373,2000,0,0,2847.92608783162,0,0,1,1,0,67
9,11123,4000,2,"poisson","linesearch",5.56580748144093e-05,5,0.000278290374072046,1.11316149628819,0.01,2000,0.5,1,9,0,NA,480.114,69,1,0,0.00908836176734795,1,1,0,0,0,68
9,11123,4000,2,"poisson","fixed",5.56580748144093e-05,1,5.56580748144093e-05,0.222632299257637,0.01,2000,0.5,1,0,0,NA,398.765,177,1,0,0.00998332267446833,0,0,1,1,0,69
9,11123,4000,2,"poisson","linesearch",5.56580748144093e-05,1,5.56580748144093e-05,0.222632299257637,0.01,2000,0.5,1,9,0,NA,650.436,177,1,0,0.00998332267446833,0,0,1,0,0,70
9,11123,4000,2,"poisson","fixed",5.56580748144093e-05,0.2,1.11316149628819e-05,0.0445264598515274,0.01,2000,0.5,1,0,0,NA,749.947,901,1,0,0.00996914130132454,0,0,1,1,0,71
9,11123,4000,2,"poisson","linesearch",5.56580748144093e-05,0.2,1.11316149628819e-05,0.0445264598515274,0.01,2000,0.5,1,9,0,NA,3228.873,901,1,0,0.00996914130132454,0,0,1,0,0,72
10,12123,4000,2,"poisson","fixed",5.57650582871059e-05,10,0.000557650582871059,2.23060233148423,0.01,2000,0.5,1,0,0,NA,332.618,6,0,1,NA,0,0,1,1,0,73
10,12123,4000,2,"poisson","linesearch",5.57650582871059e-05,10,0.000557650582871059,2.23060233148423,0.01,2000,0.5,1,9,0,NA,503.472,67,1,0,0.00939714673068695,2,2,0,0,0,74
10,12123,4000,2,"poisson","fixed",5.57650582871059e-05,5,0.000278825291435529,1.11530116574212,0.01,2000,0.5,1,0,0,NA,1275.656,2000,0,0,2858.85724466407,0,0,1,1,0,75
10,12123,4000,2,"poisson","linesearch",5.57650582871059e-05,5,0.000278825291435529,1.11530116574212,0.01,2000,0.5,1,9,0,NA,468.15,67,1,0,0.00939714673068695,1,1,0,0,0,76
10,12123,4000,2,"poisson","fixed",5.57650582871059e-05,1,5.57650582871059e-05,0.223060233148423,0.01,2000,0.5,1,0,0,NA,403.973,173,1,0,0.00958000201932518,0,0,1,1,0,77
10,12123,4000,2,"poisson","linesearch",5.57650582871059e-05,1,5.57650582871059e-05,0.223060233148423,0.01,2000,0.5,1,9,0,NA,647.437,173,1,0,0.00958000201932518,0,0,1,0,0,78
10,12123,4000,2,"poisson","fixed",5.57650582871059e-05,0.2,1.11530116574212e-05,0.0446120466296847,0.01,2000,0.5,1,0,0,NA,729.115,877,1,0,0.00991769027292699,0,0,1,1,0,79
10,12123,4000,2,"poisson","linesearch",5.57650582871059e-05,0.2,1.11530116574212e-05,0.0446120466296847,0.01,2000,0.5,1,9,0,NA,2760.543,877,1,0,0.00991769027292699,0,0,1,0,0,80
11,13123,4000,2,"poisson","fixed",5.44733206990681e-05,10,0.000544733206990681,2.17893282796272,0.01,2000,0.5,1,0,0,NA,332.286,6,0,1,NA,0,0,1,1,0,81
11,13123,4000,2,"poisson","linesearch",5.44733206990681e-05,10,0.000544733206990681,2.17893282796272,0.01,2000,0.5,1,9,0,NA,521.774,71,1,0,0.00988341577067128,2,2,0,0,0,82
11,13123,4000,2,"poisson","fixed",5.44733206990681e-05,5,0.00027236660349534,1.08946641398136,0.01,2000,0.5,1,0,0,NA,1269.521,2000,0,0,8089.88713547158,0,0,1,1,0,83
11,13123,4000,2,"poisson","linesearch",5.44733206990681e-05,5,0.00027236660349534,1.08946641398136,0.01,2000,0.5,1,9,0,NA,484.785,71,1,0,0.00988341577067128,1,1,0,0,0,84
