"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,26.13632,25.8895,928.91,0.0099561368360812,1,0,1,0
"fixed",1,100,0,1,0,8.6843,8.54649999999996,183.76,0.00976526949605854,1,0,1,0
"fixed",5,100,0,0,0,51.78021,51.734,2000,1040.4452710044,1,0,1,0
"fixed",10,100,0,0,1,4.72983,4.61250000000007,8.94,NA,1,0,1,0
"linesearch",0.2,100,0,1,0,95.1133,92.51,928.91,0.0099561368360812,1,0,0,0
"linesearch",1,100,0,1,0,21.76981,21.505,183.76,0.00976526949605854,1,0,0,0
"linesearch",5,100,0,1,0,13.12,12.9395,71.95,0.00940194091382273,0,1,0,0
"linesearch",10,100,0,1,0,14.58637,14.398,71.95,0.00940194091382273,0,2,0,0
