"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,62.35906,61.7909999999999,403.51,0.00989353086584955,1,0,1,0
"fixed",1,100,0,1,0,42.28483,42.1545,78.07,0.00941373555659576,1,0,1,0
"fixed",5,100,0,0,1,38.97837,38.7835,18.35,Inf,1,0,1,0
"fixed",10,100,0,0,1,38.20696,37.9845,13.59,Inf,1,0,1,0
"linesearch",0.2,100,0,1,0,134.31975,132.913,403.51,0.00989353086584955,1,0,0,0
"linesearch",1,100,0,1,0,54.58207,54.4085,78.07,0.00941373555659576,1,0,0,0
"linesearch",5,100,0,1,0,57.6294,57.4515,61.76,0.00928891288946594,0,2,0,0
"linesearch",10,100,0,1,0,61.5611,61.332,61.76,0.00928891288946594,0,3,0,0
