"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,4000,2,"gaussian","fixed",0.000125,10,0.00125,5,0.01,2000,0.5,1,0,0,NA,335.536,14,0,1,NA,0,0,1,1,0,1
1,3123,4000,2,"gaussian","linesearch",0.000125,10,0.00125,5,0.01,2000,0.5,1,9,0,NA,484.639,66,1,0,0.00868172320623556,3,3,0,0,0,2
1,3123,4000,2,"gaussian","fixed",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,0,0,NA,330.347,19,0,1,NA,0,0,1,1,0,3
1,3123,4000,2,"gaussian","linesearch",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,9,0,NA,452.155,66,1,0,0.00868172320623556,2,2,0,0,0,4
1,3123,4000,2,"gaussian","fixed",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,0,0,NA,345.778,83,1,0,0.00937960246453357,0,0,1,1,0,5
1,3123,4000,2,"gaussian","linesearch",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,9,0,NA,434.715,83,1,0,0.00937960246453357,0,0,1,0,0,6
1,3123,4000,2,"gaussian","fixed",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,0,0,NA,470.572,430,1,0,0.00988004771736845,0,0,1,1,0,7
1,3123,4000,2,"gaussian","linesearch",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,9,0,NA,1063.44,430,1,0,0.00988004771736845,0,0,1,0,0,8
2,4123,4000,2,"gaussian","fixed",0.000125,10,0.00125,5,0.01,2000,0.5,1,0,0,NA,331.026,14,0,1,NA,0,0,1,1,0,9
2,4123,4000,2,"gaussian","linesearch",0.000125,10,0.00125,5,0.01,2000,0.5,1,9,0,NA,455.483,63,1,0,0.00987492020713088,3,3,0,0,0,10
2,4123,4000,2,"gaussian","fixed",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,0,0,NA,330.333,20,0,1,NA,0,0,1,1,0,11
2,4123,4000,2,"gaussian","linesearch",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,9,0,NA,433.729,63,1,0,0.00987492020713088,2,2,0,0,0,12
2,4123,4000,2,"gaussian","fixed",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,0,0,NA,348.714,80,1,0,0.00963586253214499,0,0,1,1,0,13
2,4123,4000,2,"gaussian","linesearch",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,9,0,NA,408.18,80,1,0,0.00963586253214499,0,0,1,0,0,14
2,4123,4000,2,"gaussian","fixed",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,0,0,NA,457.242,415,1,0,0.00999410322277572,0,0,1,1,0,15
2,4123,4000,2,"gaussian","linesearch",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,9,0,NA,859.129,415,1,0,0.00999410322277572,0,0,1,0,0,16
3,5123,4000,2,"gaussian","fixed",0.000125,10,0.00125,5,0.01,2000,0.5,1,0,0,NA,334.481,14,0,1,NA,0,0,1,1,0,17
3,5123,4000,2,"gaussian","linesearch",0.000125,10,0.00125,5,0.01,2000,0.5,1,9,0,NA,477.758,64,1,0,0.00885747771093894,3,3,0,0,0,18
3,5123,4000,2,"gaussian","fixed",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,0,0,NA,330.292,20,0,1,NA,0,0,1,1,0,19
3,5123,4000,2,"gaussian","linesearch",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,9,0,NA,450.918,64,1,0,0.00885747771093894,2,2,0,0,0,20
3,5123,4000,2,"gaussian","fixed",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,0,0,NA,350.045,81,1,0,0.00893819804424438,0,0,1,1,0,21
3,5123,4000,2,"gaussian","linesearch",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,9,0,NA,424.188,81,1,0,0.00893819804424438,0,0,1,0,0,22
3,5123,4000,2,"gaussian","fixed",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,0,0,NA,464.781,418,1,0,0.00976613109507148,0,0,1,1,0,23
3,5123,4000,2,"gaussian","linesearch",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,9,0,NA,952.181,418,1,0,0.00976613109507148,0,0,1,0,0,24
4,6123,4000,2,"gaussian","fixed",0.000125,10,0.00125,5,0.01,2000,0.5,1,0,0,NA,323.646,15,0,1,NA,0,0,1,1,0,25
4,6123,4000,2,"gaussian","linesearch",0.000125,10,0.00125,5,0.01,2000,0.5,1,9,0,NA,468.996,66,1,0,0.00878916306993517,3,3,0,0,0,26
4,6123,4000,2,"gaussian","fixed",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,0,0,NA,327.01,21,0,1,NA,0,0,1,1,0,27
4,6123,4000,2,"gaussian","linesearch",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,9,0,NA,450.025,66,1,0,0.00878916306993517,2,2,0,0,0,28
4,6123,4000,2,"gaussian","fixed",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,0,0,NA,342.873,83,1,0,0.00953105102807919,0,0,1,1,0,29
4,6123,4000,2,"gaussian","linesearch",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,9,0,NA,425.548,83,1,0,0.00953105102807919,0,0,1,0,0,30
4,6123,4000,2,"gaussian","fixed",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,0,0,NA,463.615,431,1,0,0.00988064579579737,0,0,1,1,0,31
4,6123,4000,2,"gaussian","linesearch",0.000125,0.2,2.5e-05,0.1,0.01,2000,0.5,1,9,0,NA,1002.158,431,1,0,0.00988064579579737,0,0,1,0,0,32
5,7123,4000,2,"gaussian","fixed",0.000125,10,0.00125,5,0.01,2000,0.5,1,0,0,NA,326.189,14,0,1,NA,0,0,1,1,0,33
5,7123,4000,2,"gaussian","linesearch",0.000125,10,0.00125,5,0.01,2000,0.5,1,9,0,NA,482.513,66,1,0,0.00930259922545118,3,3,0,0,0,34
5,7123,4000,2,"gaussian","fixed",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,0,0,NA,332.761,18,0,1,NA,0,0,1,1,0,35
5,7123,4000,2,"gaussian","linesearch",0.000125,5,0.000625,2.5,0.01,2000,0.5,1,9,0,NA,468.312,66,1,0,0.00930259922545118,2,2,0,0,0,36
5,7123,4000,2,"gaussian","fixed",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,0,0,NA,353.063,84,1,0,0.00887735000577028,0,0,1,1,0,37
5,7123,4000,2,"gaussian","linesearch",0.000125,1,0.000125,0.5,0.01,2000,0.5,1,9,0,NA,443.435,84,1,0,0.00887735000577028,0,0,1,0,0,38
