"method","eta_mult","reps","error_rate","conv_rate","explode_rate","mean_elapsed","median_elapsed","mean_steps","mean_score_Y","mean_bt_frac0","mean_bt_max","mean_bt_hit_cap","mean_ls_fail_frac"
"fixed",0.2,100,0,1,0,123.1333,122.7745,910.52,0.00995135535092398,1,0,1,0
"fixed",1,100,0,1,0,55.91547,54.9520000000001,179.78,0.00975528618113077,1,0,1,0
"fixed",5,100,0,0,0,226.5174,226.867,2000,3256.67515857429,1,0,1,0
"fixed",10,100,0,0,1,39.64285,38.4285,8.02,NA,1,0,1,0
"linesearch",0.2,100,0,1,0,440.7143,418.5565,910.52,0.00995135535092398,1,0,0,0
"linesearch",1,100,0,1,0,102.93292,100.827,179.78,0.00975528618113077,1,0,0,0
"linesearch",5,100,0,1,0,69.89776,68.5714999999999,70.05,0.00947379645632115,0,1,0,0
"linesearch",10,100,0,1,0,74.42563,73.4505000000001,70.05,0.00947379645632115,0,2,0,0
